2025-11-25 21:50:54,163 | DEBUG | root | Curve, ID:None is destroyed
2025-11-25 21:50:54,163 | DEBUG | root | StdInterSection, ID:None is destroyed
2025-11-25 21:50:54,163 | DEBUG | root | FirstPGBlock, ID:None is destroyed
2025-11-25 21:50:54,163 | DEBUG | root | StdInterSection, ID:None is destroyed
2025-11-25 21:50:54,163 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:54,172 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,173 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:54,174 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,176 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:54,178 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,179 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:54,180 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,180 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:54,183 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,183 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:54,184 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,185 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:54,186 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,187 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:54,188 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,189 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,190 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,190 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,191 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,191 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,192 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,192 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,192 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,194 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,194 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,195 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,195 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,195 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,195 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,195 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,195 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,195 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,195 | DEBUG | root | IDMPolicy is released
